finep,coarsep,k,c,θ,ρ
16,2,4,0.3,-0.0625,0.6884008954719306
16,2,4,0.35,-0.0625,0.7084812801929541
16,2,4,0.4,-0.0625,0.7249656297509537
16,4,1,0.1,-0.0625,0.7216027083894909
16,4,1,0.15,-0.0625,0.7327629339372232
16,4,1,0.2,-0.0625,0.7430691663653142
16,4,1,0.25,-0.0625,0.7526146298141492
16,4,1,0.3,-0.0625,0.761479988727837
16,4,1,0.35,-0.0625,0.7697350010684679
16,4,1,0.4,-0.0625,0.7774402664890382
16,4,2,0.1,-0.0625,0.33832443000948803
16,4,2,0.15,-0.0625,0.39992544886100234
16,4,2,0.2,-0.0625,0.4485068386023367
16,4,2,0.25,-0.0625,0.4876875800494314
16,4,2,0.3,-0.0625,0.5199390513068571
16,4,2,0.35,-0.0625,0.546963140648645
16,4,2,0.4,-0.0625,0.5699574814190507
16,4,3,0.1,-0.0625,0.14060602606160164
16,4,3,0.15,-0.0625,0.21964219147880792
16,4,3,0.2,-0.0625,0.2808258105090887
16,4,3,0.25,-0.0625,0.32906352397049543
16,4,3,0.3,-0.0625,0.36812293267340274
16,4,3,0.35,-0.0625,0.40052881952368957
16,4,3,0.4,-0.0625,0.42797233357679
16,4,4,0.1,0.18749999999999992,0.059237851424039346
16,4,4,0.15,-0.0625,0.12574936355763705
16,4,4,0.2,-0.0625,0.18080875933669033
16,4,4,0.25,-0.0625,0.22578724410054646
16,4,4,0.3,-0.0625,0.2632128737995907
16,4,4,0.35,-0.0625,0.29498254422538284
16,4,4,0.4,-0.0625,0.32242245435516914
16,8,1,0.1,-0.0625,0.6666268171778028
16,8,1,0.15,-0.0625,0.5444196571609353
16,8,1,0.2,-0.0625,0.4433688691526976
16,8,1,0.25,-0.0625,0.35971326374359114
16,8,1,0.3,-0.0625,0.2939329562462773
16,8,1,0.35,-0.0625,0.3124010434949729
16,8,1,0.4,-0.0625,0.3302443590352836
16,8,2,0.1,1.0,0.25300673453645794
16,8,2,0.15,-0.0625,0.1407428736770744
16,8,2,0.2,-0.0625,0.08143817434620901
16,8,2,0.25,1.0,0.056104657632377
16,8,2,0.3,1.0,0.054648678412567986
16,8,2,0.35,1.0,0.06029246857622999
16,8,2,0.4,0.625,0.06960855409182284
16,8,3,0.1,1.3125,0.07539064915010092
16,8,3,0.15,0.5625000000000001,0.029452329067800192
16,8,3,0.2,1.0,0.014695482875487947
16,8,3,0.25,1.0,0.01544982298391388
16,8,3,0.3,1.0,0.019588291341545383
16,8,3,0.35,1.0,0.024753400997925903
16,8,3,0.4,1.0,0.030387602864425593
16,8,4,0.1,1.0,0.02168334385759575
16,8,4,0.15,1.0,0.00743987066587525
16,8,4,0.2,1.0,0.005984009491126277
16,8,4,0.25,1.0,0.007603227409376858
16,8,4,0.3,1.0,0.01013875201573934
16,8,4,0.35,1.0,0.01308633747865204
16,8,4,0.4,1.0,0.01625412921230386
