finep,coarsep,k,c,θ,ρ
4,1,3,0.1,0.0,0.21870435514744047
4,1,3,0.15,1.0,0.30135959454755545
4,1,3,0.15,0.0,0.30135959454755545
4,1,3,0.2,0.0,0.3623663702989176
4,1,3,0.2,1.0,0.3623663702989176
4,1,3,0.25,0.0,0.40923276849500534
4,1,3,0.25,1.0,0.40923276849500534
4,1,3,0.3,0.0,0.44654329257069636
4,1,3,0.3,1.0,0.44654329257069636
4,1,3,0.35,0.0,0.47712077489395205
4,1,3,0.35,1.0,0.47712077489395205
4,1,3,0.4,0.0,0.5027721262912351
4,1,3,0.4,1.0,0.5027721262912351
4,1,4,0.1,0.0,0.12686993721366924
4,1,4,0.1,0.75,0.12686993721366924
4,1,4,0.15,0.0,0.1950166806302511
4,1,4,0.15,1.0,0.1950166806302511
4,1,4,0.2,0.0,0.2552388834187698
4,1,4,0.2,1.0,0.2552388834187698
4,1,4,0.25,0.0,0.302433146713197
4,1,4,0.25,1.0,0.302433146713197
4,1,4,0.3,0.0,0.34067904962028905
4,1,4,0.3,1.0,0.34067904962028905
4,1,4,0.35,0.0,0.37253701735111067
4,1,4,0.35,1.0,0.37253701735111067
4,1,4,0.4,0.0,0.39965719022507407
4,1,4,0.4,1.0,0.39965719022507407
4,2,1,0.1,1.0,0.6702024670988401
4,2,1,0.1,1.0,0.6702024670988401
4,2,1,0.15,1.0,0.5495026390960096
4,2,1,0.15,1.0,0.5495026390960096
4,2,1,0.2,1.0,0.44977785897300226
4,2,1,0.2,1.0,0.44977785897300226
4,2,1,0.25,-0.0625,0.38868054636112653
4,2,1,0.25,0.0,0.38868054636112653
4,2,1,0.3,-0.0625,0.4069489146412047
4,2,1,0.3,0.0,0.4069489146412047
4,2,1,0.35,-0.0625,0.42423812224856705
4,2,1,0.35,0.0,0.42423812224856705
4,2,1,0.4,-0.0625,0.4406144335981582
4,2,1,0.4,0.0,0.4406144335981582
4,2,2,0.1,1.0,0.28101737134088706
4,2,2,0.1,0.0,0.28101737134088706
4,2,2,0.15,1.0,0.1852669747261429
4,2,2,0.15,0.0,0.1852669747261429
4,2,2,0.2,1.0,0.13699011350411627
4,2,2,0.2,0.0,0.13699011350411627
